||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|Bartın(Amasra/Amasra Bel.)-4070|6024.0|
|Bartın(Kurucaşile/Kurucaşile Bel.)-4072|2256.0|
|Bartın(Merkez/Bartın Bel.)-4069|87803.0|
|Bartın(Merkez/Hasankadı Bel.)-4075|2023.0|
|Bartın(Merkez/Kozcağız Bel.)-4076|7285.0|
|Bartın(Ulus/Abdipaşa Bel.)-4074|2736.0|
|Bartın(Ulus/Kumluca Bel.)-4073|2328.0|
|Bartın(Ulus/Ulus Bel.)-4071|5423.0|
|Batman(Beşiri/Beşiri Bel.)-4042|13522.0|
|Batman(Beşiri/İkiköprü Bel.)-4046|3383.0|
|Batman(Gercüş/Gercüş Bel.)-4038|6487.0|
|Batman(Gercüş/Kayapınar Bel.)-4048|2283.0|
|Batman(Hasankeyf/Hasankeyf Bel.)-4040|4035.0|
|Batman(Kozluk/Bekirhan Bel.)-4043|2967.0|
|Batman(Kozluk/Kozluk Bel.)-4039|28967.0|
|Batman(Merkez/Balpınar Bel.)-4047|6034.0|
|Batman(Merkez/Batman Bel.)-4041|480354.0|
|Batman(Sason/Sason Bel.)-4037|13167.0|
|Batman(Sason/Yücebağ Bel.)-4045|2658.0|
|Bayburt(Aydıntepe/Aydıntepe Bel.)-3987|3224.0|
|Bayburt(Demirözü/Demirözü Bel.)-3986|3735.0|
|Bayburt(Demirözü/Gökçedere Bel.)-3988|2454.0|
|Bayburt(Merkez/Arpalı Bel.)-3991|2435.0|
|Bayburt(Merkez/Bayburt Bel.)-3985|46774.0|
|Bilecik(Bozüyük/Bozüyük Bel.)-1448|74307.0|
|Bilecik(Bozüyük/Dodurga Bel.)-1455|2067.0|
|Bilecik(Gölpazarı/Gölpazarı Bel.)-1449|6647.0|
|Bilecik(İnhisar/İnhisar Bel.)-1450|941.0|
|Bilecik(Merkez/Bayırköy Bel.)-1457|2043.0|
|Bilecik(Merkez/Bilecik Bel.)-1443|70920.0|
|Bilecik(Merkez/Vezirhan Bel.)-1456|2970.0|
|Bilecik(Osmaneli/Osmaneli Bel.)-1447|16712.0|
|Bilecik(Pazaryeri/Pazaryeri Bel.)-1446|5993.0|
|Bilecik(Söğüt/Söğüt Bel.)-1445|14305.0|
|Bilecik(Yenipazar/Yenipazar Bel.)-1444|1054.0|
|Bingöl(Adaklı/Adaklı Bel.)-1459|3173.0|
